Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,11295000;4,85183300;-12,20130000
-0,03103000;4,85183300;-12,20130000
0,05089000;4,94003100;-12,20130000
0,13281000;4,94003100;-11,29490000
0,21473000;4,94003100;-10,38545000
0,29665000;4,94003100;-9,47904900
0,37857000;4,94003100;-6,75374600
0,46049000;4,94003100;-5,84734600
0,54240999;4,94003100;-4,93789500
0,62432999;5,02822900;-4,03149500
0,70624999;5,02822900;-3,12509500
0,78816999;5,11673400;-2,21564400
0,87008999;5,11673400;-1,30924400
0,95200999;5,11673400;-1,30924400
1,03392999;5,11673400;-1,30924400
1,11584999;5,11673400;-1,30924400
1,19776999;5,11673400;-1,30924400
1,27968999;5,11673400;-2,21564400
1,36160999;5,20493100;-3,12509500
1,44352999;5,20493100;-3,12509500
1,52544999;5,20493100;-3,12509500
1,60736999;5,20493100;-4,03149500
1,68928999;5,20493100;-4,03149500
1,77120999;5,29313000;-4,03149500
1,85312999;5,29313000;-4,03149500
1,93504999;5,29313000;-3,12509500
2,01696999;5,29313000;-2,21564400
2,09888999;5,38132900;-0,39979250
2,18080998;5,29313000;-0,39979250
2,26272998;5,38132900;1,41605900
2,34464998;5,38132900;2,32245900
2,42656998;5,46952700;4,13525800
2,50848998;5,46952700;5,04165700
2,59040998;5,46952700;6,85750900
2,67232998;5,46952700;7,76696100
2,75424998;5,46952700;8,67336000
2,83616998;5,55772600;10,48921000
2,91808998;5,55772600;10,48921000
3,00000998;5,55772600;10,48921000
3,08192998;5,55772600;10,48921000
3,16384998;5,55772600;10,48921000
3,24576998;5,64622900;9,58281100
3,32768998;5,64622900;8,67336000
3,40960998;5,64622900;8,67336000
3,49152998;5,64622900;7,76696100
3,57344998;5,73442800;7,76696100
3,65536998;5,73442800;7,76696100
3,73728998;5,73442800;7,76696100
3,81920997;5,73442800;8,67336000
3,90112997;5,82262600;8,67336000
3,98304997;5,82262600;10,48921000
4,06496997;5,82262600;11,39561000
4,14688997;5,82262600;12,30506000
4,22880997;5,82262600;13,21146000
4,31072997;5,82262600;14,12091000
4,39264997;5,91082500;15,02731000
4,47456997;5,91082500;15,02731000
4,55648997;5,91082500;15,02731000
4,63840997;5,91082500;15,93676000
4,72032997;5,99902300;15,93676000
4,80224997;5,99902300;15,93676000
4,88416997;5,99902300;15,02731000
4,96608997;5,99902300;15,02731000
5,04800997;5,99902300;15,02731000
5,12992997;5,99902300;13,21146000
5,21184997;6,08722200;13,21146000
5,29376997;6,08722200;11,39561000
5,37568997;6,17572500;11,39561000
5,45760996;6,17572500;8,67336000
5,53952996;6,17572500;8,67336000
5,62144996;6,17572500;7,76696100
5,70336996;6,17572500;7,76696100
5,78528996;6,17572500;8,67336000
5,86720996;6,26392400;9,58281100
5,94912996;6,26392400;11,39561000
6,03104996;6,26392400;12,30506000
6,11296996;6,26392400;13,21146000
6,19488996;6,35212200;15,02731000
6,27680996;6,35212200;15,93676000
6,35872996;6,35212200;17,75262000
6,44064996;6,35212200;19,56541000
6,52256996;6,35212200;20,47487000
6,60448996;6,35212200;22,29072000
6,68640996;6,44032100;23,19712000
6,76832996;6,44032100;24,10657000
6,85024996;6,52852000;23,19712000
6,93216996;6,52852000;24,10657000
7,01408996;6,52852000;23,19712000
7,09600995;6,52852000;22,29072000
7,17792995;6,52852000;21,38127000
7,25984995;6,52852000;20,47487000
7,34176995;6,61671800;19,56541000
7,42368995;6,61671800;18,65902000
7,50560995;6,61671800;18,65902000
7,58752995;6,61671800;16,84316000
7,66944995;6,61671800;16,84316000
7,75136995;6,70491600;16,84316000
7,83328995;6,70491600;16,84316000
7,91520995;6,70491600;15,93676000
7,99712995;6,70491600;15,93676000
8,07904995;6,79342000;17,75262000
8,16096995;6,79342000;17,75262000
8,24288995;6,79342000;17,75262000
8,32480995;6,79342000;18,65902000
8,40672995;6,79342000;18,65902000
8,48864995;6,88161800;19,56541000
8,57056995;6,88161800;19,56541000
8,65248995;6,88161800;19,56541000
8,73440994;6,88161800;20,47487000
8,81632994;6,88161800;20,47487000
8,89824994;6,96981700;19,56541000
8,98016994;6,96981700;19,56541000
9,06208994;6,96981700;19,56541000
9,14400994;6,96981700;18,65902000
9,22592994;7,05801500;17,75262000
9,30784994;7,05801500;16,84316000
9,38976994;7,05801500;15,93676000
9,47168994;7,05801500;15,93676000
9,55360994;7,14621400;15,02731000
9,63552994;7,05801500;15,02731000
9,71744994;7,14621400;15,93676000
9,79936994;7,23441200;15,93676000
9,88128994;7,23441200;17,75262000
9,96320994;7,23441200;18,65902000
10,04512994;7,23441200;20,47487000
10,12704994;7,23441200;22,29072000
10,20896994;7,23441200;23,19712000
10,29088994;7,32291700;25,01297000
10,37280993;7,32291700;26,82882000
10,45472993;7,32291700;28,64467000
10,53664993;7,41111500;30,46052000
10,61856993;7,41111500;32,27637000
10,70048993;7,41111500;34,08918000
10,78240993;7,41111500;34,08918000
10,86432993;7,41111500;35,90503000
10,94624993;7,49931300;36,81448000
11,02816993;7,49931300;35,90503000
11,11008993;7,49931300;34,99863000
11,19200993;7,58751200;34,99863000
11,27392993;7,58751200;33,18277000
11,35584993;7,58751200;31,36692000
11,43776993;7,58751200;30,46052000
11,51968993;7,67571000;28,64467000
11,60160993;7,67571000;26,82882000
11,68352993;7,58751200;25,01297000
11,76544993;7,67571000;23,19712000
11,84736993;7,67571000;23,19712000
11,92928993;7,67571000;22,29072000
12,01120992;7,76390900;21,38127000
12,09312992;7,76390900;21,38127000
12,17504992;7,76390900;20,47487000
12,25696992;7,76390900;20,47487000
12,33888992;7,76390900;19,56541000
12,42080992;7,76390900;19,56541000
12,50272992;7,85210700;18,65902000
12,58464992;7,85210700;18,65902000
12,66656992;7,85210700;17,75262000
12,74848992;7,94061100;16,84316000
12,83040992;7,94061100;15,93676000
12,91232992;7,94061100;14,12091000
12,99424992;7,94061100;12,30506000
13,07616992;7,94061100;11,39561000
13,15808992;7,94061100;9,58281100
13,24000992;8,02881000;8,67336000
13,32192992;8,02881000;8,67336000
13,40384992;7,94061100;9,58281100
13,48576992;7,94061100;11,39561000
13,56768992;7,94061100;12,30506000
13,64960991;7,94061100;15,02731000
13,73152991;7,94061100;15,02731000
13,81344991;7,85210700;15,93676000
13,89536991;7,76390900;15,93676000
13,97728991;7,76390900;15,02731000
14,05920991;7,76390900;14,12091000
14,14112991;7,67571000;14,12091000
14,22304991;7,67571000;13,21146000
14,30496991;7,58751200;14,12091000
14,38688991;7,58751200;14,12091000
14,46880991;7,58751200;14,12091000
14,55072991;7,58751200;14,12091000
14,63264991;7,58751200;14,12091000
14,71456991;7,49931300;13,21146000
14,79648991;7,49931300;12,30506000
14,87840991;7,49931300;11,39561000
14,96032991;7,49931300;11,39561000
15,04224991;7,41111500;9,58281100
15,12416991;7,41111500;7,76696100
15,20608991;7,41111500;6,85750900
15,28800990;7,41111500;5,04165700
15,36992990;7,41111500;3,22885800
15,45184990;7,41111500;1,41605900
15,53376990;7,41111500;-1,30924400
15,61568990;7,32291700;-3,12509500
15,69760990;7,32291700;-5,84734600
15,77952990;7,32291700;-9,47904900
15,86144990;7,23441200;-12,20130000
15,94336990;7,23441200;-14,01715000
16,02528990;7,23441200;-16,73940000
16,10720990;7,23441200;-19,46165000
16,18912990;7,23441200;-21,27750000
16,27104990;7,14621400;-22,18696000
16,35296990;7,05801500;-23,09336000
16,43488990;7,05801500;-24,00281000
16,51680990;7,14621400;-24,00281000
16,59872990;7,05801500;-24,00281000
16,68064990;7,05801500;-22,18696000
16,76256990;7,05801500;-20,37111000
16,84448990;7,05801500;-20,37111000
16,92640989;6,96981700;-18,55525000
