Time,Channel A,Channel B
(ms),(V),(mV)

-0.30970501,4.90768100,7.74559700
-0.14586501,4.90768100,8.64589300
0.01797499,4.99618500,9.54619000
0.18181499,4.99618500,11.34678000
0.34565499,4.99618500,11.34678000
0.50949499,4.99618500,12.24708000
0.67333499,5.08499400,12.24708000
0.83717499,5.08499400,13.14432000
1.00101499,5.17349800,14.04462000
1.16485498,5.26230700,14.94491000
1.32869498,5.26230700,14.94491000
1.49253498,5.26230700,14.04462000
1.65637498,5.35111500,13.14432000
1.82021498,5.35111500,9.54619000
1.98405498,5.43961900,6.84530200
2.14789498,5.43961900,1.44962900
2.31173498,5.52842800,-1.25125900
2.47557498,5.52842800,-3.04879900
2.63941498,5.52842800,-5.74968700
2.80325497,5.61693100,-5.74968700
2.96709497,5.61693100,-5.74968700
3.13093497,5.70574000,-5.74968700
3.29477497,5.70574000,-4.84939100
3.45861497,5.79454900,-3.04879900
3.62245497,5.79454900,-1.25125900
3.78629497,5.88305300,1.44962900
3.95013497,5.88305300,2.34992500
4.11397497,5.88305300,4.15051700
4.27781497,5.88305300,4.15051700
4.44165496,5.97186200,5.04776100
4.60549496,6.06036600,5.04776100
4.76933496,6.06036600,6.84530200
4.93317496,6.06036600,7.74559700
5.09701496,6.14917500,9.54619000
5.26085496,6.14917500,11.34678000
5.42469496,6.23767800,12.24708000
5.58853496,6.23767800,12.24708000
5.75237496,6.23767800,10.44649000
5.91621496,6.32648700,6.84530200
6.08005495,6.41529600,2.34992500
6.24389495,6.41529600,-1.25125900
6.40773495,6.50379900,-3.94909500
6.57157495,6.50379900,-4.84939100
6.73541495,6.50379900,-5.74968700
6.89925495,6.59260800,-6.64998300
7.06309495,6.59260800,-6.64998300
7.22693495,6.68111200,-5.74968700
7.39077495,6.68111200,-5.74968700
7.55461495,6.68111200,-3.94909500
7.71845494,6.76992100,-3.04879900
7.88229494,6.76992100,-2.15155500
8.04613494,6.85873000,-1.25125900
8.20997494,6.94723400,-0.35096290
8.37381494,6.94723400,-0.35096290
8.53765494,6.94723400,-2.15155500
8.70149494,7.03604200,-0.35096290
8.86533494,7.03604200,-0.35096290
9.02917494,7.03604200,-0.35096290
9.19301494,7.12454600,1.44962900
9.35685493,7.21335500,2.34992500
9.52069493,7.21335500,2.34992500
9.68453493,7.21335500,1.44962900
9.84837493,7.21335500,-0.35096290
10.01221493,7.30216400,-3.04879900
10.17605493,7.39066700,-6.64998300
10.33989493,7.39066700,-10.24812000
10.50373493,7.39066700,-11.14841000
10.66757493,7.47947600,-12.04871000
10.83141493,7.56798000,-12.04871000
10.99525492,7.56798000,-12.04871000
11.15909492,7.56798000,-10.24812000
11.32293492,7.65678900,-7.55027900
11.48677492,7.65678900,-5.74968700
11.65061492,7.74559800,-2.15155500
11.81445492,7.74559800,-0.35096290
11.97829492,7.83410100,3.25022100
12.14213492,7.83410100,4.15051700
12.30597492,7.92291000,5.94500500
12.46981492,7.92291000,7.74559700
12.63365491,7.92291000,7.74559700
12.79749491,7.92291000,6.84530200
12.96133491,7.83410100,5.04776100
13.12517491,7.74559800,-0.35096290
13.28901491,7.65678900,-3.94909500
13.45285491,7.65678900,-10.24812000
13.61669491,7.56798000,-12.94900000
13.78053491,7.47947600,-14.74959000
13.94437491,7.39066700,-14.74959000
14.10821491,7.39066700,-12.94900000
14.27205490,7.39066700,-12.94900000
14.43589490,7.39066700,-10.24812000
14.59973490,7.39066700,-8.45057600
14.76357490,7.30216400,-6.64998300
14.92741490,7.21335500,-3.04879900
15.09125490,7.21335500,-0.35096290
15.25509490,7.21335500,0.54933320
15.41893490,7.12454600,0.54933320
15.58277490,7.12454600,-1.25125900
15.74661490,7.03604200,-2.15155500
15.91045489,7.03604200,-3.94909500
16.07429489,6.94723400,-3.94909500
16.23813489,6.94723400,-3.04879900
16.40197489,6.94723400,-2.15155500
16.56581489,6.85873000,-3.04879900
16.72965489,6.85873000,-3.04879900
16.89349489,6.85873000,-2.15155500
17.05733489,6.76992100,-3.04879900
17.22117489,6.68111200,-3.94909500
17.38501489,6.68111200,-3.94909500
17.54885488,6.68111200,-5.74968700
17.71269488,6.59260800,-4.84939100
17.87653488,6.59260800,-6.64998300
18.04037488,6.50379900,-5.74968700
18.20421488,6.50379900,-3.04879900
18.36805488,6.41529600,-2.15155500
18.53189488,6.41529600,1.44962900
18.69573488,6.32648700,5.04776100
18.85957488,6.32648700,7.74559700
19.02341488,6.32648700,11.34678000
19.18725487,6.23767800,12.24708000
19.35109487,6.14917500,14.04462000
19.51493487,6.14917500,12.24708000
19.67877487,6.14917500,9.54619000
19.84261487,6.06036600,8.64589300
20.00645487,6.06036600,6.84530200
20.17029487,5.97186200,5.94500500
20.33413487,5.97186200,5.94500500
20.49797487,5.88305300,5.04776100
20.66181487,5.88305300,5.04776100
20.82565486,5.88305300,3.25022100
20.98949486,5.79454900,1.44962900
21.15333486,5.79454900,0.54933320
21.31717486,5.70574000,-1.25125900
21.48101486,5.70574000,-3.94909500
21.64485486,5.61693100,-4.84939100
21.80869486,5.61693100,-4.84939100
21.97253486,5.52842800,-4.84939100
22.13637486,5.52842800,-3.04879900
22.30021486,5.52842800,-1.25125900
22.46405485,5.43961900,2.34992500
22.62789485,5.43961900,5.94500500
22.79173485,5.43961900,8.64589300
22.95557485,5.35111500,13.14432000
23.11941485,5.35111500,14.94491000
23.28325485,5.26230700,16.74551000
23.44709485,5.17349800,16.74551000
23.61093485,5.17349800,14.94491000
23.77477485,5.17349800,14.04462000
23.93861485,5.08499400,12.24708000
24.10245484,5.08499400,11.34678000
24.26629484,4.99618500,10.44649000
24.43013484,4.99618500,9.54619000
24.59397484,4.90768100,10.44649000
24.75781484,4.90768100,8.64589300
24.92165484,4.90768100,8.64589300
25.08549484,4.81887200,7.74559700
25.24933484,4.81887200,7.74559700
25.41317484,4.73006400,6.84530200
25.57701484,4.73006400,5.94500500
25.74085484,4.64156000,5.04776100
25.90469483,4.64156000,4.15051700
26.06853483,4.64156000,2.34992500
26.23237483,4.55275100,2.34992500
26.39621483,4.55275100,4.15051700
26.56005483,4.46424800,5.94500500
26.72389483,4.46424800,7.74559700
26.88773483,4.37543900,9.54619000
27.05157483,4.37543900,10.44649000
27.21541483,4.37543900,11.34678000
27.37925483,4.28663000,10.44649000
27.54309482,4.28663000,9.54619000
27.70693482,4.28663000,6.84530200
27.87077482,4.19812600,4.15051700
28.03461482,4.10931700,4.15051700
28.19845482,4.10931700,4.15051700
28.36229482,4.02081300,5.04776100
28.52613482,4.02081300,5.04776100
28.68997482,4.02081300,3.25022100
28.85381482,3.93200500,3.25022100
29.01765482,3.93200500,2.34992500
29.18149481,3.84319600,0.54933320
29.34533481,3.84319600,-0.35096290
29.50917481,3.75469200,-1.25125900
29.67301481,3.75469200,-3.04879900
29.83685481,3.75469200,-3.94909500
30.00069481,3.66588300,-3.94909500
30.16453481,3.66588300,-3.94909500
30.32837481,3.57738000,-2.15155500
30.49221481,3.57738000,1.44962900
30.65605481,3.57738000,5.94500500
30.81989480,3.48857100,11.34678000
30.98373480,3.39976200,14.94491000
31.14757480,3.39976200,17.64580000
31.31141480,3.39976200,16.74551000
31.47525480,3.31125800,15.84521000
31.63909480,3.31125800,13.14432000
31.80293480,3.22244900,11.34678000
31.96677480,3.22244900,8.64589300
32.13061480,3.22244900,6.84530200
32.29445480,3.13394600,4.15051700
32.45829479,3.04513700,1.44962900
32.62213479,3.04513700,-2.15155500
32.78597479,2.95663300,-5.74968700
32.94981479,2.95663300,-9.35087100
33.11365479,2.86782400,-12.94900000
33.27749479,2.86782400,-16.55019000
33.44133479,2.86782400,-19.24802000
