Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,12879800;4,85183300;-38,98434000
-0,04687800;4,85183300;-42,57943000
0,03504200;4,94003100;-46,17450000
0,11696200;4,94003100;-49,76958000
0,19888200;4,94003100;-51,57018000
0,28080200;5,02822900;-55,16526000
0,36272200;4,94003100;-56,96585000
0,44464200;4,94003100;-60,56093000
0,52656200;5,02822900;-64,15601000
0,60848200;5,11673400;-65,95050000
0,69040200;5,11673400;-67,75109000
0,77232200;5,11673400;-69,54558000
0,85424200;5,11673400;-71,34617000
0,93616200;5,11673400;-73,14066000
1,01808200;5,11673400;-73,14066000
1,10000199;5,11673400;-74,94125000
1,18192199;5,11673400;-74,94125000
1,26384199;5,20493100;-76,73574000
1,34576199;5,20493100;-78,53633000
1,42768199;5,20493100;-78,53633000
1,50960199;5,20493100;-82,13141000
1,59152199;5,20493100;-83,92590000
1,67344199;5,29313000;-83,92590000
1,75536199;5,29313000;-87,52098000
1,83728199;5,29313000;-87,52098000
1,91920199;5,29313000;-91,11606000
2,00112199;5,38132900;-91,11606000
2,08304199;5,38132900;-92,91666000
2,16496199;5,38132900;-92,91666000
2,24688199;5,46952700;-94,71114000
2,32880199;5,46952700;-96,51173000
2,41072199;5,46952700;-96,51173000
2,49264199;5,46952700;-96,51173000
2,57456199;5,46952700;-96,51173000
2,65648199;5,46952700;-94,71114000
2,73840198;5,46952700;-94,71114000
2,82032198;5,55772600;-92,91666000
2,90224198;5,64622900;-92,91666000
2,98416198;5,55772600;-91,11606000
3,06608198;5,64622900;-87,52098000
3,14800198;5,64622900;-85,72649000
3,22992198;5,64622900;-83,92590000
3,31184198;5,64622900;-82,13141000
3,39376198;5,64622900;-78,53633000
3,47568198;5,73442800;-76,73574000
3,55760198;5,64622900;-74,94125000
3,63952198;5,73442800;-71,34617000
3,72144198;5,82262600;-69,54558000
3,80336198;5,82262600;-65,95050000
3,88528198;5,82262600;-62,35542000
3,96720198;5,82262600;-56,96585000
4,04912198;5,82262600;-55,16526000
4,13104198;5,82262600;-53,37077000
4,21296198;5,91082500;-49,76958000
4,29488198;5,91082500;-44,38001000
4,37680198;5,91082500;-40,78493000
4,45872197;5,99902300;-37,18985000
4,54064197;5,99902300;-33,59477000
4,62256197;5,99902300;-31,79418000
4,70448197;5,99902300;-28,19910000
4,78640197;5,99902300;-24,60402000
4,86832197;5,99902300;-21,00894000
4,95024197;6,08722200;-19,21445000
5,03216197;6,08722200;-17,41386000
5,11408197;6,08722200;-15,61937000
5,19600197;6,17572500;-13,81878000
5,27792197;6,17572500;-12,02429000
5,35984197;6,17572500;-10,22370000
5,44176197;6,17572500;-10,22370000
5,52368197;6,17572500;-8,42921200
5,60560197;6,17572500;-8,42921200
5,68752197;6,26392400;-8,42921200
5,76944197;6,26392400;-10,22370000
5,85136197;6,26392400;-12,02429000
5,93328197;6,26392400;-13,81878000
6,01520197;6,35212200;-13,81878000
6,09712196;6,35212200;-17,41386000
6,17904196;6,35212200;-19,21445000
6,26096196;6,35212200;-21,00894000
6,34288196;6,35212200;-26,40461000
6,42480196;6,44032100;-28,19910000
6,50672196;6,44032100;-31,79418000
6,58864196;6,44032100;-35,38926000
6,67056196;6,52852000;-40,78493000
6,75248196;6,52852000;-44,38001000
6,83440196;6,52852000;-47,97510000
6,91632196;6,52852000;-51,57018000
6,99824196;6,52852000;-55,16526000
7,08016196;6,52852000;-58,76034000
7,16208196;6,61671800;-62,35542000
7,24400196;6,61671800;-64,15601000
7,32592196;6,61671800;-67,75109000
7,40784196;6,61671800;-71,34617000
7,48976196;6,70491600;-73,14066000
7,57168196;6,70491600;-74,94125000
7,65360196;6,70491600;-78,53633000
7,73552195;6,70491600;-80,33082000
7,81744195;6,70491600;-82,13141000
7,89936195;6,70491600;-85,72649000
7,98128195;6,79342000;-87,52098000
8,06320195;6,79342000;-91,11606000
8,14512195;6,79342000;-92,91666000
8,22704195;6,79342000;-96,51173000
8,30896195;6,88161800;-98,30622000
8,39088195;6,88161800;-101,90130000
8,47280195;6,88161800;-105,49640000
8,55472195;6,88161800;-107,29700000
8,63664195;6,96981700;-110,89210000
8,71856195;6,96981700;-112,69260000
8,80048195;6,96981700;-114,48710000
8,88240195;6,96981700;-118,08220000
8,96432195;6,96981700;-119,88280000
9,04624195;7,05801500;-121,67730000
9,12816195;7,05801500;-121,67730000
9,21008195;7,05801500;-121,67730000
9,29200195;7,05801500;-121,67730000
9,37392194;7,05801500;-121,67730000
9,45584194;7,05801500;-121,67730000
9,53776194;7,14621400;-119,88280000
9,61968194;7,14621400;-119,88280000
9,70160194;7,23441200;-116,28770000
9,78352194;7,23441200;-114,48710000
9,86544194;7,23441200;-112,69260000
9,94736194;7,23441200;-109,09760000
10,02928194;7,23441200;-107,29700000
10,11120194;7,23441200;-103,70190000
10,19312194;7,23441200;-100,10680000
10,27504194;7,32291700;-96,51173000
10,35696194;7,41111500;-92,91666000
10,43888194;7,41111500;-87,52098000
10,52080194;7,41111500;-83,92590000
10,60272194;7,41111500;-78,53633000
10,68464194;7,41111500;-74,94125000
10,76656194;7,49931300;-69,54558000
10,84848194;7,41111500;-64,15601000
10,93040194;7,49931300;-60,56093000
11,01232193;7,49931300;-56,96585000
11,09424193;7,49931300;-53,37077000
11,17616193;7,58751200;-49,76958000
11,25808193;7,58751200;-47,97510000
11,34000193;7,58751200;-44,38001000
11,42192193;7,58751200;-42,57943000
11,50384193;7,67571000;-40,78493000
11,58576193;7,58751200;-38,98434000
11,66768193;7,67571000;-37,18985000
11,74960193;7,67571000;-37,18985000
11,83152193;7,67571000;-37,18985000
11,91344193;7,67571000;-37,18985000
11,99536193;7,76390900;-38,98434000
12,07728193;7,76390900;-40,78493000
12,15920193;7,76390900;-40,78493000
12,24112193;7,85210700;-42,57943000
12,32304193;7,76390900;-44,38001000
12,40496193;7,85210700;-47,97510000
12,48688193;7,85210700;-49,76958000
12,56880193;7,94061100;-51,57018000
12,65072192;7,94061100;-55,16526000
12,73264192;7,94061100;-56,96585000
12,81456192;7,94061100;-58,76034000
12,89648192;7,94061100;-60,56093000
12,97840192;7,94061100;-62,35542000
13,06032192;8,02881000;-64,15601000
13,14224192;8,02881000;-64,15601000
13,22416192;8,02881000;-64,15601000
13,30608192;7,94061100;-62,35542000
13,38800192;7,94061100;-58,76034000
13,46992192;7,94061100;-55,16526000
13,55184192;7,94061100;-49,76958000
13,63376192;7,94061100;-44,38001000
13,71568192;7,94061100;-37,18985000
13,79760192;7,85210700;-29,99969000
13,87952192;7,85210700;-22,80953000
13,96144192;7,76390900;-17,41386000
14,04336192;7,76390900;-12,02429000
14,12528192;7,67571000;-8,42921200
14,20720192;7,67571000;-6,62862000
14,28912191;7,67571000;-4,83413200
14,37104191;7,58751200;-4,83413200
14,45296191;7,58751200;-6,62862000
14,53488191;7,58751200;-8,42921200
14,61680191;7,58751200;-8,42921200
14,69872191;7,58751200;-10,22370000
14,78064191;7,49931300;-12,02429000
14,86256191;7,49931300;-13,81878000
14,94448191;7,49931300;-13,81878000
15,02640191;7,49931300;-15,61937000
15,10832191;7,49931300;-17,41386000
15,19024191;7,41111500;-19,21445000
15,27216191;7,41111500;-19,21445000
15,35408191;7,41111500;-21,00894000
15,43600191;7,41111500;-22,80953000
15,51792191;7,41111500;-24,60402000
15,59984191;7,32291700;-26,40461000
15,68176191;7,32291700;-28,19910000
15,76368191;7,32291700;-29,99969000
15,84560191;7,32291700;-29,99969000
15,92752190;7,23441200;-31,79418000
16,00944190;7,23441200;-31,79418000
16,09136190;7,23441200;-31,79418000
16,17328190;7,23441200;-29,99969000
