Time,Channel A,Channel B
(ms),(V),(mV)

24.08588484,5.08499400,5.94500500
24.24972484,4.99618500,5.04776100
24.41356484,4.99618500,3.25022100
24.57740484,4.90768100,4.15051700
24.74124484,4.90768100,4.15051700
24.90508484,4.90768100,5.04776100
25.06892484,4.90768100,5.94500500
25.23276483,4.81887200,6.84530200
25.39660483,4.81887200,8.64589300
25.56044483,4.73006400,11.34678000
25.72428483,4.64156000,14.04462000
25.88812483,4.64156000,14.94491000
26.05196483,4.64156000,16.74551000
26.21580483,4.55275100,16.74551000
26.37964483,4.55275100,15.84521000
26.54348483,4.46424800,14.04462000
26.70732483,4.46424800,14.04462000
26.87116482,4.37543900,12.24708000
27.03500482,4.37543900,11.34678000
27.19884482,4.28663000,9.54619000
27.36268482,4.28663000,7.74559700
27.52652482,4.19812600,6.84530200
27.69036482,4.19812600,4.15051700
27.85420482,4.19812600,0.54933320
28.01804482,4.10931700,-1.25125900
28.18188482,4.10931700,-3.04879900
28.34572482,4.02081300,-4.84939100
28.50956481,4.02081300,-5.74968700
28.67340481,4.02081300,-5.74968700
28.83724481,3.93200500,-5.74968700
29.00108481,3.84319600,-3.94909500
29.16492481,3.84319600,-0.35096290
29.32876481,3.84319600,0.54933320
29.49260481,3.75469200,4.15051700
29.65644481,3.75469200,5.94500500
29.82028481,3.66588300,7.74559700
29.98412481,3.66588300,7.74559700
30.14796480,3.66588300,7.74559700
30.31180480,3.57738000,6.84530200
30.47564480,3.57738000,5.94500500
30.63948480,3.48857100,5.04776100
30.80332480,3.48857100,5.04776100
30.96716480,3.39976200,4.15051700
31.13100480,3.39976200,2.34992500
31.29484480,3.31125800,1.44962900
31.45868480,3.31125800,-0.35096290
31.62252480,3.22244900,-2.15155500
31.78636479,3.22244900,-3.94909500
31.95020479,3.22244900,-5.74968700
32.11404479,3.22244900,-7.55027900
32.27788479,3.13394600,-9.35087100
32.44172479,3.04513700,-10.24812000
32.60556479,3.04513700,-11.14841000
32.76940479,2.95663300,-10.24812000
32.93324479,2.95663300,-9.35087100
33.09708479,2.95663300,-6.64998300
33.26092479,2.86782400,-4.84939100
33.42476478,2.86782400,-2.15155500
33.58860478,2.77901600,-0.35096290
33.75244478,2.77901600,2.34992500
33.91628478,2.69051200,4.15051700
34.08012478,2.69051200,4.15051700
34.24396478,2.69051200,4.15051700
34.40780478,2.60170300,5.04776100
34.57164478,2.60170300,4.15051700
34.73548478,2.60170300,3.25022100
34.89932478,2.51319900,3.25022100
35.06316477,2.51319900,1.44962900
35.22700477,2.42439000,1.44962900
35.39084477,2.42439000,-0.35096290
35.55468477,2.42439000,-2.15155500
35.71852477,2.33558200,-3.94909500
35.88236477,2.24707800,-5.74968700
36.04620477,2.24707800,-9.35087100
36.21004477,2.15826900,-12.04871000
36.37388477,2.15826900,-13.84930000
36.53772477,2.06976500,-15.64989000
36.70156476,2.06976500,-17.44743000
36.86540476,2.06976500,-18.34773000
37.02924476,1.98095600,-19.24802000
37.19308476,1.89214800,-19.24802000
37.35692476,1.89214800,-19.24802000
37.52076476,1.89214800,-18.34773000
37.68460476,1.89214800,-18.34773000
37.84844476,1.89214800,-19.24802000
38.01228476,1.98095600,-19.24802000
38.17612476,2.06976500,-17.44743000
38.33996475,2.15826900,-13.84930000
38.50380475,2.24707800,-9.35087100
38.66764475,2.24707800,-5.74968700
38.83148475,2.33558200,-3.04879900
38.99532475,2.42439000,-1.25125900
39.15916475,2.42439000,0.54933320
39.32300475,2.42439000,1.44962900
39.48684475,2.42439000,1.44962900
39.65068475,2.51319900,2.34992500
39.81452475,2.51319900,2.34992500
39.97836474,2.60170300,4.15051700
40.14220474,2.60170300,4.15051700
40.30604474,2.60170300,5.04776100
40.46988474,2.69051200,5.04776100
40.63372474,2.69051200,4.15051700
40.79756474,2.77901600,3.25022100
40.96140474,2.77901600,0.54933320
41.12524474,2.86782400,-1.25125900
41.28908474,2.86782400,-3.94909500
41.45292474,2.95663300,-5.74968700
41.61676473,2.95663300,-7.55027900
41.78060473,2.95663300,-8.45057600
41.94444473,3.04513700,-9.35087100
42.10828473,3.04513700,-10.24812000
42.27212473,3.13394600,-9.35087100
42.43596473,3.13394600,-7.55027900
42.59980473,3.22244900,-5.74968700
42.76364473,3.22244900,-4.84939100
42.92748473,3.22244900,-2.15155500
43.09132473,3.31125800,-0.35096290
43.25516472,3.39976200,1.44962900
43.41900472,3.39976200,2.34992500
43.58284472,3.39976200,4.15051700
43.74668472,3.48857100,4.15051700
43.91052472,3.48857100,5.04776100
44.07436472,3.48857100,5.04776100
44.23820472,3.57738000,6.84530200
44.40204472,3.57738000,6.84530200
44.56588472,3.57738000,8.64589300
44.72972472,3.66588300,6.84530200
44.89356471,3.75469200,6.84530200
45.05740471,3.75469200,4.15051700
45.22124471,3.84319600,1.44962900
45.38508471,3.84319600,-2.15155500
45.54892471,3.93200500,-3.04879900
45.71276471,3.93200500,-4.84939100
45.87660471,3.93200500,-5.74968700
46.04044471,3.93200500,-6.64998300
46.20428471,4.02081300,-5.74968700
46.36812471,4.10931700,-5.74968700
46.53196470,4.10931700,-3.04879900
46.69580470,4.10931700,-1.25125900
46.85964470,4.19812600,1.44962900
47.02348470,4.28663000,4.15051700
47.18732470,4.28663000,5.94500500
47.35116470,4.37543900,8.64589300
47.51500470,4.37543900,9.54619000
47.67884470,4.37543900,12.24708000
47.84268470,4.46424800,13.14432000
48.00652470,4.46424800,14.04462000
48.17036469,4.55275100,14.94491000
48.33420469,4.55275100,16.74551000
48.49804469,4.55275100,16.74551000
48.66188469,4.64156000,15.84521000
48.82572469,4.64156000,14.94491000
48.98956469,4.73006400,13.14432000
49.15340469,4.73006400,11.34678000
49.31724469,4.81887200,9.54619000
49.48108469,4.81887200,5.94500500
49.64492469,4.90768100,5.94500500
49.80876468,4.90768100,4.15051700
49.97260468,4.90768100,4.15051700
50.13644468,4.90768100,4.15051700
50.30028468,4.99618500,5.04776100
50.46412468,5.08499400,5.04776100
50.62796468,5.08499400,5.04776100
50.79180468,5.08499400,7.74559700
50.95564468,5.08499400,8.64589300
51.11948468,5.17349800,10.44649000
51.28332468,5.26230700,12.24708000
51.44716467,5.26230700,12.24708000
51.61100467,5.35111500,13.14432000
51.77484467,5.35111500,14.04462000
51.93868467,5.43961900,14.04462000
52.10252467,5.43961900,14.04462000
52.26636467,5.52842800,14.94491000
52.43020467,5.52842800,14.04462000
52.59404467,5.52842800,14.04462000
52.75788467,5.61693100,12.24708000
52.92172467,5.61693100,9.54619000
53.08556466,5.70574000,6.84530200
53.24940466,5.70574000,4.15051700
53.41324466,5.70574000,0.54933320
53.57708466,5.79454900,-1.25125900
53.74092466,5.79454900,-3.94909500
53.90476466,5.88305300,-4.84939100
54.06860466,5.88305300,-6.64998300
54.23244466,5.88305300,-6.64998300
54.39628466,5.97186200,-5.74968700
54.56012466,5.97186200,-5.74968700
54.72396465,6.06036600,-4.84939100
54.88780465,6.06036600,-3.94909500
55.05164465,6.14917500,-3.04879900
55.21548465,6.14917500,-2.15155500
55.37932465,6.23767800,-1.25125900
55.54316465,6.23767800,-0.35096290
55.70700465,6.23767800,-0.35096290
55.87084465,6.32648700,1.44962900
56.03468465,6.32648700,2.34992500
56.19852465,6.41529600,4.15051700
56.36236464,6.50379900,5.04776100
56.52620464,6.50379900,4.15051700
56.69004464,6.50379900,3.25022100
56.85388464,6.59260800,1.44962900
57.01772464,6.59260800,-1.25125900
57.18156464,6.68111200,-3.04879900
57.34540464,6.68111200,-5.74968700
57.50924464,6.76992100,-7.55027900
57.67308464,6.76992100,-9.35087100
57.83692464,6.76992100,-11.14841000
58.00076463,6.85873000,-12.04871000
58.16460463,6.85873000,-12.04871000
58.32844463,6.94723400,-11.14841000
58.49228463,6.94723400,-10.24812000
58.65612463,6.94723400,-9.35087100
58.81996463,7.03604200,-7.55027900
58.98380463,7.12454600,-7.55027900
59.14764463,7.12454600,-5.74968700
59.31148463,7.21335500,-4.84939100
59.47532463,7.12454600,-4.84939100
59.63916462,7.21335500,-3.94909500
59.80300462,7.30216400,-3.94909500
59.96684462,7.30216400,-3.94909500
60.13068462,7.39066700,-2.15155500
60.29452462,7.39066700,-1.25125900
60.45836462,7.39066700,-2.15155500
60.62220462,7.47947600,-3.04879900
60.78604462,7.47947600,-4.84939100
60.94988462,7.47947600,-6.64998300
61.11372462,7.56798000,-9.35087100
61.27756462,7.65678900,-11.14841000
61.44140461,7.65678900,-12.94900000
61.60524461,7.74559800,-14.74959000
61.76908461,7.74559800,-15.64989000
61.93292461,7.83410100,-15.64989000
62.09676461,7.83410100,-14.74959000
62.26060461,7.83410100,-14.74959000
62.42444461,7.92291000,-14.74959000
62.58828461,7.92291000,-13.84930000
62.75212461,7.83410100,-14.74959000
62.91596461,7.83410100,-14.74959000
63.07980460,7.74559800,-14.74959000
63.24364460,7.74559800,-14.74959000
63.40748460,7.65678900,-12.04871000
63.57132460,7.56798000,-7.55027900
63.73516460,7.47947600,-4.84939100
63.89900460,7.47947600,-2.15155500
64.06284460,7.39066700,-0.35096290
64.22668460,7.39066700,-1.25125900
64.39052460,7.39066700,-1.25125900
64.55436460,7.39066700,-1.25125900
64.71820459,7.30216400,-2.15155500
64.88204459,7.30216400,-3.04879900
65.04588459,7.21335500,-3.04879900
65.20972459,7.21335500,-3.04879900
65.37356459,7.12454600,-3.94909500
65.53740459,7.12454600,-3.94909500
65.70124459,7.03604200,-5.74968700
65.86508459,7.03604200,-7.55027900
66.02892459,6.94723400,-8.45057600
66.19276459,6.94723400,-9.35087100
66.35660458,6.85873000,-10.24812000
66.52044458,6.85873000,-11.14841000
66.68428458,6.85873000,-10.24812000
66.84812458,6.76992100,-10.24812000
67.01196458,6.76992100,-8.45057600
67.17580458,6.68111200,-7.55027900
67.33964458,6.59260800,-4.84939100
67.50348458,6.68111200,-2.15155500
67.66732458,6.59260800,0.54933320
67.83116458,6.50379900,3.25022100
67.99500457,6.50379900,5.04776100
68.15884457,6.50379900,5.04776100
68.32268457,6.41529600,5.04776100
68.48652457,6.41529600,4.15051700
68.65036457,6.32648700,3.25022100
68.81420457,6.32648700,2.34992500
68.97804457,6.32648700,2.34992500
69.14188457,6.23767800,1.44962900
69.30572457,6.23767800,-0.35096290
69.46956457,6.14917500,-0.35096290
69.63340456,6.14917500,-2.15155500
69.79724456,6.06036600,-3.94909500
69.96108456,6.06036600,-4.84939100
70.12492456,5.97186200,-4.84939100
70.28876456,5.97186200,-4.84939100
70.45260456,5.88305300,-5.74968700
70.61644456,5.88305300,-4.84939100
70.78028456,5.79454900,-4.84939100
70.94412456,5.79454900,-3.94909500
71.10796456,5.79454900,-1.25125900
71.27180455,5.70574000,1.44962900
71.43564455,5.70574000,5.04776100
71.59948455,5.61693100,7.74559700
71.76332455,5.61693100,10.44649000
71.92716455,5.61693100,12.24708000
72.09100455,5.52842800,14.04462000
72.25484455,5.43961900,14.04462000
72.41868455,5.43961900,15.84521000
72.58252455,5.43961900,14.94491000
72.74636455,5.35111500,14.94491000
72.91020454,5.35111500,14.04462000
73.07404454,5.35111500,14.04462000
73.23788454,5.26230700,14.04462000
73.40172454,5.26230700,12.24708000
73.56556454,5.17349800,11.34678000
73.72940454,5.08499400,9.54619000
73.89324454,5.08499400,8.64589300
74.05708454,5.08499400,7.74559700
74.22092454,4.99618500,6.84530200
74.38476454,4.99618500,5.04776100
74.54860453,4.90768100,5.04776100
74.71244453,4.90768100,5.94500500
74.87628453,4.81887200,5.94500500
75.04012453,4.81887200,6.84530200
75.20396453,4.81887200,6.84530200
75.36780453,4.81887200,9.54619000
75.53164453,4.73006400,11.34678000
75.69548453,4.73006400,14.04462000
75.85932453,4.64156000,15.84521000
76.02316453,4.64156000,17.64580000
76.18700452,4.55275100,17.64580000
76.35084452,4.55275100,16.74551000
76.51468452,4.55275100,15.84521000
76.67852452,4.46424800,14.04462000
76.84236452,4.37543900,12.24708000
77.00620452,4.37543900,11.34678000
77.17004452,4.37543900,9.54619000
77.33388452,4.28663000,8.64589300
77.49772452,4.28663000,5.94500500
77.66156452,4.19812600,2.34992500
77.82540451,4.19812600,-0.35096290
77.98924451,4.19812600,-2.15155500
78.15308451,4.10931700,-3.94909500
78.31692451,4.02081300,-5.74968700
78.48076451,4.02081300,-7.55027900
78.64460451,4.02081300,-7.55027900
78.80844451,4.02081300,-6.64998300
78.97228451,3.93200500,-6.64998300
79.13612451,3.93200500,-3.94909500
79.29996451,3.84319600,-1.25125900
79.46380450,3.84319600,1.44962900
79.62764450,3.75469200,3.25022100
79.79148450,3.75469200,5.04776100
79.95532450,3.66588300,5.94500500
80.11916450,3.66588300,6.84530200
80.28300450,3.57738000,5.94500500
80.44684450,3.57738000,5.04776100
80.61068450,3.48857100,3.25022100
80.77452450,3.39976200,3.25022100
80.93836450,3.39976200,2.34992500
81.10220449,3.39976200,1.44962900
81.26604449,3.31125800,-0.35096290
81.42988449,3.31125800,-1.25125900
81.59372449,3.31125800,-2.15155500
81.75756449,3.22244900,-3.94909500
81.92140449,3.22244900,-5.74968700
82.08524449,3.13394600,-7.55027900
82.24908449,3.13394600,-8.45057600
82.41292449,3.04513700,-9.35087100
82.57676449,3.04513700,-9.35087100
82.74060448,3.04513700,-9.35087100
82.90444448,2.95663300,-8.45057600
83.06828448,2.95663300,-5.74968700
83.23212448,2.86782400,-4.84939100
83.39596448,2.86782400,-1.25125900
83.55980448,2.86782400,1.44962900
83.72364448,2.77901600,2.34992500
83.88748448,2.69051200,5.04776100
84.05132448,2.69051200,6.84530200
84.21516448,2.69051200,6.84530200
84.37900447,2.60170300,6.84530200
84.54284447,2.60170300,6.84530200
84.70668447,2.60170300,6.84530200
84.87052447,2.51319900,5.94500500
85.03436447,2.51319900,5.04776100
85.19820447,2.42439000,4.15051700
85.36204447,2.42439000,2.34992500
85.52588447,2.33558200,0.54933320
85.68972447,2.33558200,-1.25125900
85.85356447,2.24707800,-4.84939100
86.01740446,2.24707800,-6.64998300
86.18124446,2.15826900,-9.35087100
86.34508446,2.15826900,-12.04871000
86.50892446,2.06976500,-14.74959000
86.67276446,2.06976500,-14.74959000
86.83660446,1.98095600,-16.55019000
87.00044446,1.98095600,-18.34773000
87.16428446,1.98095600,-19.24802000
87.32812446,1.89214800,-19.24802000
87.49196446,1.89214800,-19.24802000
87.65580445,1.89214800,-18.34773000
87.81964445,1.89214800,-20.14832000
87.98348445,1.98095600,-17.44743000
88.14732445,2.06976500,-16.55019000
88.31116445,2.06976500,-13.84930000
88.47500445,2.15826900,-9.35087100
88.63884445,2.24707800,-4.84939100
88.80268445,2.33558200,-2.15155500
88.96652445,2.33558200,0.54933320
89.13036445,2.42439000,2.34992500
89.29420444,2.42439000,2.34992500
89.45804444,2.42439000,3.25022100
89.62188444,2.51319900,5.04776100
89.78572444,2.51319900,5.04776100
89.94956444,2.51319900,5.94500500
90.11340444,2.60170300,6.84530200
90.27724444,2.60170300,7.74559700
90.44108444,2.69051200,6.84530200
90.60492444,2.69051200,5.94500500
90.76876444,2.77901600,5.04776100
90.93260443,2.77901600,3.25022100
91.09644443,2.86782400,1.44962900
91.26028443,2.86782400,-1.25125900
91.42412443,2.86782400,-3.94909500
91.58796443,2.95663300,-4.84939100
91.75180443,2.95663300,-7.55027900
91.91564443,3.04513700,-8.45057600
92.07948443,3.04513700,-9.35087100
92.24332443,3.13394600,-9.35087100
92.40716443,3.13394600,-8.45057600
92.57100442,3.13394600,-7.55027900
92.73484442,3.22244900,-5.74968700
92.89868442,3.22244900,-3.94909500
93.06252442,3.31125800,-2.15155500
93.22636442,3.31125800,-1.25125900
93.39020442,3.39976200,0.54933320
93.55404442,3.39976200,1.44962900
93.71788442,3.48857100,2.34992500
93.88172442,3.48857100,3.25022100
94.04556442,3.48857100,3.25022100
94.20940441,3.57738000,4.15051700
94.37324441,3.57738000,5.94500500
94.53708441,3.57738000,5.94500500
94.70092441,3.66588300,6.84530200
94.86476441,3.75469200,5.04776100
95.02860441,3.75469200,3.25022100
95.19244441,3.84319600,0.54933320
95.35628441,3.84319600,-2.15155500
95.52012441,3.93200500,-3.94909500
95.68396441,3.93200500,-6.64998300
95.84780440,3.93200500,-7.55027900
96.01164440,4.02081300,-7.55027900
96.17548440,4.02081300,-7.55027900
96.33932440,4.10931700,-6.64998300
96.50316440,4.10931700,-5.74968700
96.66700440,4.10931700,-3.94909500
96.83084440,4.19812600,-1.25125900
96.99468440,4.19812600,1.44962900
97.15852440,4.19812600,5.04776100
97.32236440,4.28663000,6.84530200
97.48620439,4.37543900,8.64589300
97.65004439,4.37543900,11.34678000
97.81388439,4.37543900,12.24708000
97.97772439,4.46424800,14.04462000
98.14156439,4.46424800,15.84521000
98.30540439,4.55275100,16.74551000
98.46924439,4.55275100,17.64580000
98.63308439,4.64156000,18.54610000
98.79692439,4.64156000,17.64580000
98.96076439,4.73006400,15.84521000
99.12460438,4.73006400,13.14432000
99.28844438,4.81887200,11.34678000
99.45228438,4.81887200,9.54619000
99.61612438,4.81887200,6.84530200
99.77996438,4.90768100,5.94500500
99.94380438,4.90768100,5.94500500
100.10764438,4.90768100,5.04776100
100.27148438,4.99618500,5.94500500
100.43532438,4.99618500,5.94500500
100.59916438,5.08499400,6.84530200
100.76300438,5.08499400,7.74559700
100.92684437,5.08499400,8.64589300
101.09068437,5.17349800,10.44649000
101.25452437,5.26230700,12.24708000
101.41836437,5.26230700,12.24708000
101.58220437,5.26230700,14.04462000
101.74604437,5.35111500,14.04462000
101.90988437,5.35111500,14.04462000
102.07372437,5.43961900,14.04462000
102.23756437,5.43961900,14.94491000
102.40140437,5.52842800,14.94491000
102.56524436,5.52842800,14.04462000
102.72908436,5.61693100,13.14432000
102.89292436,5.61693100,10.44649000
103.05676436,5.61693100,8.64589300
103.22060436,5.70574000,5.04776100
103.38444436,5.70574000,2.34992500
103.54828436,5.79454900,-1.25125900
103.71212436,5.79454900,-3.94909500
103.87596436,5.79454900,-4.84939100
104.03980436,5.88305300,-6.64998300
104.20364435,5.97186200,-7.55027900
104.36748435,5.97186200,-7.55027900
104.53132435,6.06036600,-7.55027900
104.69516435,6.06036600,-6.64998300
104.85900435,6.06036600,-5.74968700
105.02284435,6.14917500,-4.84939100
105.18668435,6.14917500,-3.94909500
105.35052435,6.14917500,-3.04879900
105.51436435,6.23767800,-2.15155500
105.67820435,6.23767800,-2.15155500
105.84204434,6.32648700,-0.35096290
106.00588434,6.32648700,0.54933320
106.16972434,6.41529600,1.44962900
106.33356434,6.41529600,2.34992500
106.49740434,6.50379900,3.25022100
106.66124434,6.50379900,3.25022100
106.82508434,6.59260800,0.54933320
106.98892434,6.59260800,-0.35096290
107.15276434,6.68111200,-2.15155500
107.31660434,6.68111200,-4.84939100
107.48044433,6.68111200,-6.64998300
107.64428433,6.68111200,-9.35087100
107.80812433,6.76992100,-10.24812000
107.97196433,6.85873000,-12.04871000
108.13580433,6.85873000,-12.94900000
108.29964433,6.94723400,-12.04871000
108.46348433,6.94723400,-11.14841000
108.62732433,7.03604200,-10.24812000
108.79116433,7.03604200,-9.35087100
