Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,11384500;4,85183300;-6,62862000
-0,03192500;4,85183300;-10,22370000
0,04999500;4,94003100;-12,02429000
0,13191500;4,94003100;-13,81878000
0,21383500;4,94003100;-15,61937000
0,29575500;4,94003100;-19,21445000
0,37767499;5,02822900;-21,00894000
0,45959499;5,02822900;-24,60402000
0,54151499;5,02822900;-26,40461000
0,62343499;5,11673400;-28,19910000
0,70535499;5,11673400;-29,99969000
0,78727499;5,11673400;-33,59477000
0,86919499;5,11673400;-35,38926000
0,95111499;5,11673400;-37,18985000
1,03303499;5,11673400;-38,98434000
1,11495499;5,11673400;-40,78493000
1,19687499;5,11673400;-42,57943000
1,27879499;5,11673400;-44,38001000
1,36071499;5,11673400;-46,17450000
1,44263499;5,20493100;-49,76958000
1,52455499;5,20493100;-51,57018000
1,60647499;5,29313000;-55,16526000
1,68839499;5,20493100;-56,96585000
1,77031499;5,29313000;-62,35542000
1,85223499;5,29313000;-64,15601000
1,93415499;5,29313000;-67,75109000
2,01607498;5,29313000;-71,34617000
2,09799498;5,29313000;-74,94125000
2,17991498;5,38132900;-76,73574000
2,26183498;5,38132900;-78,53633000
2,34375498;5,46952700;-83,92590000
2,42567498;5,46952700;-83,92590000
2,50759498;5,46952700;-85,72649000
2,58951498;5,46952700;-87,52098000
2,67143498;5,46952700;-89,32157000
2,75335498;5,46952700;-91,11606000
2,83527498;5,55772600;-91,11606000
2,91719498;5,55772600;-91,11606000
2,99911498;5,64622900;-92,91666000
3,08103498;5,64622900;-92,91666000
3,16295498;5,64622900;-91,11606000
3,24487498;5,64622900;-92,91666000
3,32679498;5,64622900;-91,11606000
3,40871498;5,64622900;-91,11606000
3,49063498;5,64622900;-91,11606000
3,57255498;5,73442800;-89,32157000
3,65447497;5,82262600;-87,52098000
3,73639497;5,82262600;-85,72649000
3,81831497;5,73442800;-85,72649000
3,90023497;5,82262600;-83,92590000
3,98215497;5,82262600;-82,13141000
4,06407497;5,82262600;-78,53633000
4,14599497;5,82262600;-76,73574000
4,22791497;5,82262600;-73,14066000
4,30983497;5,82262600;-71,34617000
4,39175497;5,91082500;-69,54558000
4,47367497;5,91082500;-67,75109000
4,55559497;5,99902300;-64,15601000
4,63751497;5,99902300;-60,56093000
4,71943497;5,99902300;-56,96585000
4,80135497;5,99902300;-53,37077000
4,88327497;5,99902300;-49,76958000
4,96519497;6,08722200;-47,97510000
5,04711497;6,08722200;-46,17450000
5,12903497;6,08722200;-44,38001000
5,21095497;6,08722200;-40,78493000
5,29287496;6,17572500;-38,98434000
5,37479496;6,17572500;-35,38926000
5,45671496;6,17572500;-33,59477000
5,53863496;6,17572500;-31,79418000
5,62055496;6,17572500;-31,79418000
5,70247496;6,17572500;-29,99969000
5,78439496;6,26392400;-28,19910000
5,86631496;6,26392400;-28,19910000
5,94823496;6,26392400;-28,19910000
6,03015496;6,26392400;-28,19910000
6,11207496;6,26392400;-29,99969000
6,19399496;6,35212200;-29,99969000
6,27591496;6,35212200;-33,59477000
6,35783496;6,35212200;-33,59477000
6,43975496;6,35212200;-35,38926000
6,52167496;6,44032100;-37,18985000
6,60359496;6,44032100;-40,78493000
6,68551496;6,44032100;-42,57943000
6,76743496;6,52852000;-46,17450000
6,84935496;6,52852000;-47,97510000
6,93127495;6,52852000;-51,57018000
7,01319495;6,52852000;-55,16526000
7,09511495;6,52852000;-56,96585000
7,17703495;6,52852000;-60,56093000
7,25895495;6,61671800;-64,15601000
7,34087495;6,61671800;-65,95050000
7,42279495;6,61671800;-69,54558000
7,50471495;6,70491600;-71,34617000
7,58663495;6,70491600;-73,14066000
7,66855495;6,61671800;-74,94125000
7,75047495;6,70491600;-76,73574000
7,83239495;6,70491600;-78,53633000
7,91431495;6,70491600;-78,53633000
7,99623495;6,79342000;-82,13141000
8,07815495;6,79342000;-83,92590000
8,16007495;6,79342000;-85,72649000
8,24199495;6,79342000;-87,52098000
8,32391495;6,79342000;-89,32157000
8,40583495;6,88161800;-92,91666000
8,48775495;6,88161800;-92,91666000
8,56967494;6,88161800;-96,51173000
8,65159494;6,88161800;-98,30622000
8,73351494;6,96981700;-100,10680000
8,81543494;6,96981700;-101,90130000
8,89735494;6,96981700;-103,70190000
8,97927494;7,05801500;-105,49640000
9,06119494;7,05801500;-105,49640000
9,14311494;7,05801500;-107,29700000
9,22503494;7,05801500;-107,29700000
9,30695494;7,05801500;-107,29700000
9,38887494;7,05801500;-107,29700000
9,47079494;7,05801500;-107,29700000
9,55271494;7,14621400;-107,29700000
9,63463494;7,14621400;-107,29700000
9,71655494;7,23441200;-105,49640000
9,79847494;7,23441200;-103,70190000
9,88039494;7,23441200;-103,70190000
9,96231494;7,23441200;-100,10680000
10,04423494;7,23441200;-98,30622000
10,12615494;7,32291700;-94,71114000
10,20807493;7,23441200;-92,91666000
10,28999493;7,32291700;-89,32157000
10,37191493;7,32291700;-85,72649000
10,45383493;7,41111500;-82,13141000
10,53575493;7,41111500;-78,53633000
10,61767493;7,41111500;-74,94125000
10,69959493;7,41111500;-69,54558000
10,78151493;7,49931300;-65,95050000
10,86343493;7,41111500;-62,35542000
10,94535493;7,49931300;-56,96585000
11,02727493;7,49931300;-53,37077000
11,10919493;7,58751200;-47,97510000
11,19111493;7,58751200;-44,38001000
11,27303493;7,58751200;-42,57943000
11,35495493;7,58751200;-37,18985000
11,43687493;7,58751200;-33,59477000
11,51879493;7,58751200;-33,59477000
11,60071493;7,58751200;-28,19910000
11,68263493;7,67571000;-28,19910000
11,76455493;7,67571000;-26,40461000
11,84647492;7,67571000;-26,40461000
11,92839492;7,67571000;-26,40461000
12,01031492;7,67571000;-28,19910000
12,09223492;7,76390900;-28,19910000
12,17415492;7,76390900;-28,19910000
12,25607492;7,76390900;-31,79418000
12,33799492;7,85210700;-33,59477000
12,41991492;7,85210700;-35,38926000
12,50183492;7,85210700;-38,98434000
12,58375492;7,85210700;-42,57943000
12,66567492;7,94061100;-46,17450000
12,74759492;7,94061100;-49,76958000
12,82951492;7,94061100;-53,37077000
12,91143492;7,94061100;-56,96585000
12,99335492;7,94061100;-58,76034000
13,07527492;7,94061100;-64,15601000
13,15719492;8,02881000;-64,15601000
13,23911492;7,94061100;-65,95050000
13,32103492;7,94061100;-65,95050000
13,40295492;8,02881000;-62,35542000
13,48487491;8,02881000;-58,76034000
13,56679491;7,94061100;-55,16526000
13,64871491;7,94061100;-46,17450000
13,73063491;7,94061100;-38,98434000
13,81255491;7,85210700;-29,99969000
13,89447491;7,85210700;-22,80953000
13,97639491;7,76390900;-13,81878000
14,05831491;7,76390900;-8,42921200
14,14023491;7,76390900;-4,83413200
14,22215491;7,67571000;-1,23905100
14,30407491;7,67571000;-1,23905100
14,38599491;7,67571000;-1,23905100
14,46791491;7,58751200;-3,03354000
14,54983491;7,58751200;-4,83413200
14,63175491;7,58751200;-8,42921200
14,71367491;7,58751200;-10,22370000
14,79559491;7,58751200;-12,02429000
14,87751491;7,58751200;-13,81878000
14,95943491;7,49931300;-15,61937000
15,04135491;7,49931300;-17,41386000
15,12327490;7,41111500;-19,21445000
15,20519490;7,49931300;-19,21445000
15,28711490;7,49931300;-21,00894000
15,36903490;7,41111500;-22,80953000
15,45095490;7,41111500;-24,60402000
15,53287490;7,32291700;-26,40461000
15,61479490;7,41111500;-28,19910000
15,69671490;7,41111500;-28,19910000
15,77863490;7,32291700;-31,79418000
15,86055490;7,32291700;-33,59477000
15,94247490;7,23441200;-33,59477000
16,02439490;7,23441200;-33,59477000
16,10631490;7,23441200;-33,59477000
16,18823490;7,23441200;-33,59477000
