Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,16253701;4,76363400;-19,21445000
-0,08061701;4,85183300;-19,21445000
0,00130299;4,94003100;-21,00894000
0,08322299;4,94003100;-22,80953000
0,16514299;4,94003100;-26,40461000
0,24706299;4,94003100;-28,19910000
0,32898299;4,94003100;-29,99969000
0,41090299;4,94003100;-31,79418000
0,49282299;4,94003100;-35,38926000
0,57474299;5,02822900;-37,18985000
0,65666299;5,02822900;-40,78493000
0,73858299;5,02822900;-42,57943000
0,82050299;5,11673400;-44,38001000
0,90242299;5,11673400;-46,17450000
0,98434299;5,11673400;-47,97510000
1,06626299;5,11673400;-49,76958000
1,14818299;5,11673400;-49,76958000
1,23010299;5,11673400;-53,37077000
1,31202299;5,11673400;-55,16526000
1,39394298;5,11673400;-56,96585000
1,47586298;5,11673400;-56,96585000
1,55778298;5,20493100;-60,56093000
1,63970298;5,20493100;-64,15601000
1,72162298;5,20493100;-64,15601000
1,80354298;5,20493100;-65,95050000
1,88546298;5,29313000;-69,54558000
1,96738298;5,29313000;-71,34617000
2,04930298;5,29313000;-74,94125000
2,13122298;5,29313000;-76,73574000
2,21314298;5,38132900;-80,33082000
2,29506298;5,38132900;-83,92590000
2,37698298;5,38132900;-85,72649000
2,45890298;5,38132900;-87,52098000
2,54082298;5,46952700;-89,32157000
2,62274298;5,46952700;-91,11606000
2,70466298;5,46952700;-91,11606000
2,78658298;5,46952700;-92,91666000
2,86850298;5,46952700;-92,91666000
2,95042298;5,46952700;-92,91666000
3,03234297;5,55772600;-92,91666000
3,11426297;5,64622900;-92,91666000
3,19618297;5,64622900;-91,11606000
3,27810297;5,64622900;-91,11606000
3,36002297;5,64622900;-91,11606000
3,44194297;5,64622900;-89,32157000
3,52386297;5,64622900;-87,52098000
3,60578297;5,73442800;-85,72649000
3,68770297;5,73442800;-83,92590000
3,76962297;5,73442800;-83,92590000
3,85154297;5,82262600;-80,33082000
3,93346297;5,82262600;-78,53633000
4,01538297;5,82262600;-76,73574000
4,09730297;5,82262600;-74,94125000
4,17922297;5,82262600;-73,14066000
4,26114297;5,82262600;-69,54558000
4,34306297;5,82262600;-67,75109000
4,42498297;5,82262600;-65,95050000
4,50690297;5,91082500;-62,35542000
4,58882297;5,91082500;-60,56093000
4,67074296;5,99902300;-58,76034000
4,75266296;5,99902300;-55,16526000
4,83458296;5,99902300;-53,37077000
4,91650296;5,99902300;-49,76958000
4,99842296;5,99902300;-46,17450000
5,08034296;5,99902300;-44,38001000
5,16226296;6,08722200;-42,57943000
5,24418296;6,08722200;-38,98434000
5,32610296;6,17572500;-35,38926000
5,40802296;6,17572500;-35,38926000
5,48994296;6,08722200;-31,79418000
5,57186296;6,17572500;-29,99969000
5,65378296;6,17572500;-28,19910000
5,73570296;6,17572500;-28,19910000
5,81762296;6,17572500;-26,40461000
5,89954296;6,17572500;-24,60402000
5,98146296;6,26392400;-22,80953000
6,06338296;6,26392400;-21,00894000
6,14530296;6,26392400;-21,00894000
6,22722296;6,35212200;-21,00894000
6,30914295;6,35212200;-21,00894000
6,39106295;6,35212200;-21,00894000
6,47298295;6,35212200;-22,80953000
6,55490295;6,35212200;-24,60402000
6,63682295;6,44032100;-24,60402000
6,71874295;6,44032100;-26,40461000
6,80066295;6,44032100;-28,19910000
6,88258295;6,44032100;-29,99969000
6,96450295;6,52852000;-31,79418000
7,04642295;6,52852000;-35,38926000
7,12834295;6,52852000;-35,38926000
7,21026295;6,52852000;-38,98434000
7,29218295;6,52852000;-42,57943000
7,37410295;6,61671800;-42,57943000
7,45602295;6,61671800;-46,17450000
7,53794295;6,61671800;-49,76958000
7,61986295;6,61671800;-51,57018000
7,70178295;6,70491600;-53,37077000
7,78370295;6,70491600;-56,96585000
7,86562295;6,70491600;-58,76034000
7,94754294;6,70491600;-62,35542000
8,02946294;6,70491600;-64,15601000
8,11138294;6,70491600;-67,75109000
8,19330294;6,79342000;-69,54558000
8,27522294;6,79342000;-73,14066000
8,35714294;6,88161800;-76,73574000
8,43906294;6,79342000;-78,53633000
8,52098294;6,88161800;-83,92590000
8,60290294;6,88161800;-85,72649000
8,68482294;6,88161800;-91,11606000
8,76674294;6,88161800;-92,91666000
8,84866294;6,88161800;-98,30622000
8,93058294;6,96981700;-100,10680000
9,01250294;6,96981700;-103,70190000
9,09442294;6,96981700;-105,49640000
9,17634294;6,96981700;-109,09760000
9,25826294;7,05801500;-110,89210000
9,34018294;7,05801500;-112,69260000
9,42210294;7,14621400;-112,69260000
9,50402294;7,05801500;-114,48710000
9,58594293;7,05801500;-114,48710000
9,66786293;7,14621400;-116,28770000
9,74978293;7,14621400;-114,48710000
9,83170293;7,23441200;-114,48710000
9,91362293;7,23441200;-114,48710000
9,99554293;7,23441200;-114,48710000
10,07746293;7,23441200;-112,69260000
10,15938293;7,23441200;-112,69260000
10,24130293;7,32291700;-110,89210000
10,32322293;7,23441200;-109,09760000
10,40514293;7,32291700;-105,49640000
10,48706293;7,32291700;-103,70190000
10,56898293;7,41111500;-100,10680000
10,65090293;7,41111500;-98,30622000
10,73282293;7,41111500;-92,91666000
10,81474293;7,41111500;-91,11606000
10,89666293;7,41111500;-85,72649000
10,97858293;7,41111500;-82,13141000
11,06050293;7,49931300;-78,53633000
11,14242293;7,49931300;-76,73574000
11,22434292;7,58751200;-71,34617000
11,30626292;7,58751200;-67,75109000
11,38818292;7,58751200;-64,15601000
11,47010292;7,58751200;-62,35542000
11,55202292;7,58751200;-58,76034000
11,63394292;7,67571000;-56,96585000
11,71586292;7,67571000;-53,37077000
11,79778292;7,67571000;-49,76958000
11,87970292;7,76390900;-49,76958000
11,96162292;7,76390900;-47,97510000
12,04354292;7,76390900;-47,97510000
12,12546292;7,67571000;-46,17450000
12,20738292;7,76390900;-46,17450000
12,28930292;7,76390900;-46,17450000
12,37122292;7,76390900;-46,17450000
12,45314292;7,85210700;-46,17450000
12,53506292;7,85210700;-47,97510000
12,61698292;7,85210700;-47,97510000
12,69890292;7,85210700;-47,97510000
12,78082292;7,85210700;-49,76958000
12,86274291;7,94061100;-51,57018000
12,94466291;7,94061100;-53,37077000
13,02658291;7,94061100;-53,37077000
13,10850291;7,94061100;-55,16526000
13,19042291;7,94061100;-56,96585000
13,27234291;7,94061100;-56,96585000
13,35426291;8,02881000;-56,96585000
13,43618291;8,02881000;-56,96585000
13,51810291;8,02881000;-55,16526000
13,60002291;7,94061100;-51,57018000
13,68194291;7,94061100;-47,97510000
13,76386291;7,94061100;-42,57943000
13,84578291;7,94061100;-40,78493000
13,92770291;7,85210700;-33,59477000
14,00962291;7,85210700;-29,99969000
14,09154291;7,76390900;-26,40461000
14,17346291;7,76390900;-22,80953000
14,25538291;7,76390900;-21,00894000
14,33730291;7,67571000;-19,21445000
14,41922291;7,67571000;-19,21445000
14,50114290;7,67571000;-21,00894000
14,58306290;7,58751200;-21,00894000
14,66498290;7,58751200;-22,80953000
14,74690290;7,58751200;-24,60402000
14,82882290;7,58751200;-24,60402000
14,91074290;7,49931300;-26,40461000
14,99266290;7,49931300;-26,40461000
15,07458290;7,49931300;-28,19910000
15,15650290;7,49931300;-28,19910000
15,23842290;7,41111500;-28,19910000
15,32034290;7,41111500;-28,19910000
15,40226290;7,49931300;-29,99969000
15,48418290;7,49931300;-29,99969000
15,56610290;7,41111500;-31,79418000
15,64802290;7,41111500;-31,79418000
15,72994290;7,41111500;-33,59477000
15,81186290;7,41111500;-33,59477000
15,89378290;7,32291700;-33,59477000
15,97570290;7,32291700;-33,59477000
16,05762290;7,23441200;-33,59477000
16,13954289;7,32291700;-31,79418000
