Time,Channel A,Channel B
(ms),(V),(mV)

-0.26505499,4.90768100,16.74551000
-0.10121499,4.90768100,17.64580000
0.06262501,4.99618500,16.74551000
0.22646501,4.99618500,17.64580000
0.39030501,4.99618500,18.54610000
0.55414501,5.08499400,18.54610000
0.71798501,5.08499400,18.54610000
0.88182501,5.08499400,18.54610000
1.04566501,5.17349800,17.64580000
1.20950500,5.26230700,17.64580000
1.37334500,5.26230700,18.54610000
1.53718500,5.35111500,17.64580000
1.70102500,5.43961900,18.54610000
1.86486500,5.43961900,17.64580000
2.02870500,5.43961900,17.64580000
2.19254500,5.52842800,16.74551000
2.35638500,5.52842800,15.84521000
2.52022500,5.52842800,15.84521000
2.68406500,5.61693100,15.84521000
2.84790499,5.61693100,14.94491000
3.01174499,5.70574000,14.04462000
3.17558499,5.70574000,14.04462000
3.33942499,5.79454900,14.04462000
3.50326499,5.79454900,13.14432000
3.66710499,5.79454900,12.24708000
3.83094499,5.88305300,11.34678000
3.99478499,5.88305300,11.34678000
4.15862499,5.97186200,10.44649000
4.32246499,5.97186200,11.34678000
4.48630498,6.06036600,10.44649000
4.65014498,6.06036600,11.34678000
4.81398498,6.06036600,10.44649000
4.97782498,6.14917500,9.54619000
5.14166498,6.14917500,9.54619000
5.30550498,6.23767800,9.54619000
5.46934498,6.23767800,9.54619000
5.63318498,6.32648700,8.64589300
5.79702498,6.32648700,7.74559700
5.96086498,6.41529600,7.74559700
6.12470497,6.41529600,5.94500500
6.28854497,6.41529600,5.94500500
6.45238497,6.50379900,5.04776100
6.61622497,6.59260800,4.15051700
6.78006497,6.59260800,3.25022100
6.94390497,6.59260800,2.34992500
7.10774497,6.68111200,1.44962900
7.27158497,6.68111200,-0.35096290
7.43542497,6.76992100,-1.25125900
7.59926497,6.76992100,-3.04879900
7.76310496,6.85873000,-3.94909500
7.92694496,6.85873000,-4.84939100
8.09078496,6.85873000,-6.64998300
8.25462496,6.94723400,-7.55027900
8.41846496,6.94723400,-8.45057600
8.58230496,7.03604200,-8.45057600
8.74614496,7.03604200,-9.35087100
8.90998496,7.12454600,-9.35087100
9.07382496,7.12454600,-10.24812000
9.23766496,7.21335500,-10.24812000
9.40150495,7.21335500,-11.14841000
9.56534495,7.21335500,-12.04871000
9.72918495,7.30216400,-12.94900000
9.89302495,7.30216400,-12.94900000
10.05686495,7.39066700,-13.84930000
10.22070495,7.39066700,-13.84930000
10.38454495,7.47947600,-14.74959000
10.54838495,7.47947600,-14.74959000
10.71222495,7.56798000,-16.55019000
10.87606495,7.56798000,-17.44743000
11.03990494,7.56798000,-17.44743000
11.20374494,7.65678900,-19.24802000
11.36758494,7.65678900,-19.24802000
11.53142494,7.65678900,-20.14832000
11.69526494,7.83410100,-20.14832000
11.85910494,7.74559800,-19.24802000
12.02294494,7.83410100,-20.14832000
12.18678494,7.83410100,-20.14832000
12.35062494,7.83410100,-19.24802000
12.51446494,7.92291000,-18.34773000
12.67830493,7.83410100,-19.24802000
12.84214493,7.83410100,-20.14832000
13.00598493,7.74559800,-19.24802000
13.16982493,7.65678900,-19.24802000
13.33366493,7.56798000,-17.44743000
13.49750493,7.56798000,-16.55019000
13.66134493,7.47947600,-14.74959000
13.82518493,7.39066700,-14.74959000
13.98902493,7.39066700,-12.94900000
14.15286493,7.39066700,-12.94900000
14.31670492,7.39066700,-12.04871000
14.48054492,7.30216400,-12.94900000
14.64438492,7.30216400,-12.04871000
14.80822492,7.21335500,-11.14841000
14.97206492,7.21335500,-10.24812000
15.13590492,7.21335500,-10.24812000
15.29974492,7.12454600,-9.35087100
15.46358492,7.03604200,-8.45057600
15.62742492,7.03604200,-8.45057600
15.79126492,7.03604200,-7.55027900
15.95510491,6.94723400,-6.64998300
16.11894491,6.94723400,-5.74968700
16.28278491,6.85873000,-4.84939100
16.44662491,6.85873000,-3.94909500
16.61046491,6.85873000,-3.04879900
16.77430491,6.76992100,-1.25125900
16.93814491,6.68111200,-0.35096290
17.10198491,6.68111200,1.44962900
17.26582491,6.68111200,1.44962900
17.42966491,6.59260800,3.25022100
17.59350490,6.59260800,4.15051700
17.75734490,6.50379900,5.04776100
17.92118490,6.50379900,6.84530200
18.08502490,6.41529600,7.74559700
18.24886490,6.41529600,8.64589300
18.41270490,6.32648700,8.64589300
18.57654490,6.32648700,9.54619000
18.74038490,6.32648700,9.54619000
18.90422490,6.23767800,10.44649000
19.06806490,6.23767800,11.34678000
19.23190489,6.14917500,11.34678000
19.39574489,6.14917500,10.44649000
19.55958489,6.06036600,11.34678000
19.72342489,5.97186200,12.24708000
19.88726489,6.06036600,12.24708000
20.05110489,5.97186200,12.24708000
20.21494489,5.97186200,12.24708000
20.37878489,5.88305300,12.24708000
20.54262489,5.88305300,14.04462000
20.70646489,5.79454900,13.14432000
20.87030488,5.79454900,14.04462000
21.03414488,5.79454900,14.94491000
21.19798488,5.70574000,14.04462000
21.36182488,5.61693100,14.94491000
21.52566488,5.61693100,15.84521000
21.68950488,5.61693100,15.84521000
21.85334488,5.52842800,16.74551000
22.01718488,5.52842800,16.74551000
22.18102488,5.52842800,17.64580000
22.34486488,5.43961900,16.74551000
22.50870487,5.35111500,18.54610000
22.67254487,5.35111500,17.64580000
22.83638487,5.35111500,18.54610000
23.00022487,5.26230700,19.44639000
23.16406487,5.26230700,18.54610000
23.32790487,5.26230700,18.54610000
23.49174487,5.08499400,18.54610000
23.65558487,5.08499400,18.54610000
23.81942487,5.08499400,18.54610000
23.98326487,5.08499400,17.64580000
24.14710486,4.99618500,18.54610000
24.31094486,4.99618500,18.54610000
24.47478486,4.90768100,18.54610000
24.63862486,4.90768100,18.54610000
24.80246486,4.81887200,17.64580000
24.96630486,4.81887200,18.54610000
25.13014486,4.81887200,16.74551000
25.29398486,4.73006400,16.74551000
25.45782486,4.73006400,16.74551000
25.62166486,4.73006400,15.84521000
25.78550485,4.64156000,14.94491000
25.94934485,4.64156000,14.04462000
26.11318485,4.55275100,14.04462000
26.27702485,4.55275100,13.14432000
26.44086485,4.55275100,12.24708000
26.60470485,4.46424800,12.24708000
26.76854485,4.37543900,10.44649000
26.93238485,4.37543900,10.44649000
27.09622485,4.28663000,9.54619000
27.26006485,4.28663000,8.64589300
27.42390484,4.19812600,7.74559700
27.58774484,4.19812600,7.74559700
27.75158484,4.19812600,6.84530200
27.91542484,4.10931700,6.84530200
28.07926484,4.10931700,6.84530200
28.24310484,4.02081300,6.84530200
28.40694484,4.02081300,6.84530200
28.57078484,3.93200500,5.94500500
28.73462484,3.93200500,5.94500500
28.89846484,3.93200500,5.04776100
29.06230483,3.84319600,4.15051700
29.22614483,3.84319600,3.25022100
29.38998483,3.84319600,2.34992500
29.55382483,3.75469200,1.44962900
29.71766483,3.75469200,1.44962900
29.88150483,3.66588300,0.54933320
30.04534483,3.57738000,-0.35096290
30.20918483,3.57738000,-2.15155500
30.37302483,3.57738000,-2.15155500
30.53686483,3.48857100,-3.94909500
30.70070482,3.48857100,-4.84939100
30.86454482,3.39976200,-5.74968700
31.02838482,3.39976200,-6.64998300
31.19222482,3.31125800,-6.64998300
31.35606482,3.31125800,-7.55027900
31.51990482,3.31125800,-7.55027900
31.68374482,3.22244900,-7.55027900
31.84758482,3.22244900,-6.64998300
32.01142482,3.13394600,-7.55027900
32.17526482,3.13394600,-7.55027900
32.33910482,3.04513700,-6.64998300
32.50294481,3.04513700,-7.55027900
32.66678481,2.95663300,-7.55027900
32.83062481,2.95663300,-8.45057600
32.99446481,2.95663300,-9.35087100
33.15830481,2.86782400,-9.35087100
33.32214481,2.77901600,-10.24812000
33.48598481,2.77901600,-12.04871000
