Time,Channel A,Channel B
(ms),(V),(mV)

-0.19208100,4.90768100,10.44649000
-0.02824100,4.90768100,8.64589300
0.13559900,4.99618500,7.74559700
0.29943899,4.99618500,7.74559700
0.46327899,5.08499400,6.84530200
0.62711899,5.08499400,5.94500500
0.79095899,5.08499400,5.94500500
0.95479899,5.08499400,5.04776100
1.11863899,5.26230700,5.04776100
1.28247899,5.26230700,3.25022100
1.44631899,5.35111500,3.25022100
1.61015899,5.35111500,4.15051700
1.77399899,5.35111500,3.25022100
1.93783898,5.43961900,2.34992500
2.10167898,5.43961900,2.34992500
2.26551898,5.52842800,1.44962900
2.42935898,5.52842800,1.44962900
2.59319898,5.52842800,-0.35096290
2.75703898,5.61693100,-0.35096290
2.92087898,5.70574000,-1.25125900
3.08471898,5.70574000,-2.15155500
3.24855898,5.70574000,-3.94909500
3.41239898,5.70574000,-4.84939100
3.57623897,5.79454900,-5.74968700
3.74007897,5.88305300,-7.55027900
3.90391897,5.88305300,-7.55027900
4.06775897,5.97186200,-9.35087100
4.23159897,5.97186200,-11.14841000
4.39543897,5.97186200,-12.04871000
4.55927897,5.97186200,-12.94900000
4.72311897,6.06036600,-12.94900000
4.88695897,6.06036600,-12.94900000
5.05079897,6.14917500,-14.74959000
5.21463896,6.14917500,-14.74959000
5.37847896,6.14917500,-14.74959000
5.54231896,6.23767800,-14.74959000
5.70615896,6.32648700,-15.64989000
5.86999896,6.32648700,-14.74959000
6.03383896,6.41529600,-14.74959000
6.19767896,6.41529600,-14.74959000
6.36151896,6.41529600,-14.74959000
6.52535896,6.50379900,-14.74959000
6.68919896,6.59260800,-14.74959000
6.85303895,6.59260800,-13.84930000
7.01687895,6.59260800,-13.84930000
7.18071895,6.68111200,-14.74959000
7.34455895,6.68111200,-14.74959000
7.50839895,6.76992100,-14.74959000
7.67223895,6.76992100,-14.74959000
7.83607895,6.85873000,-15.64989000
7.99991895,6.85873000,-16.55019000
8.16375895,6.85873000,-16.55019000
8.32759895,6.94723400,-18.34773000
8.49143894,6.94723400,-19.24802000
8.65527894,6.94723400,-19.24802000
8.81911894,7.03604200,-19.24802000
8.98295894,7.12454600,-20.14832000
9.14679894,7.12454600,-20.14832000
9.31063894,7.12454600,-19.24802000
9.47447894,7.21335500,-20.14832000
9.63831894,7.21335500,-20.14832000
9.80215894,7.30216400,-20.14832000
9.96599894,7.30216400,-20.14832000
10.12983893,7.39066700,-20.14832000
10.29367893,7.39066700,-20.14832000
10.45751893,7.47947600,-20.14832000
10.62135893,7.47947600,-19.24802000
10.78519893,7.47947600,-20.14832000
10.94903893,7.56798000,-19.24802000
11.11287893,7.56798000,-19.24802000
11.27671893,7.56798000,-18.34773000
11.44055893,7.65678900,-18.34773000
11.60439893,7.74559800,-18.34773000
11.76823892,7.74559800,-17.44743000
11.93207892,7.83410100,-17.44743000
12.09591892,7.83410100,-17.44743000
12.25975892,7.92291000,-16.55019000
12.42359892,7.83410100,-16.55019000
12.58743892,7.83410100,-16.55019000
12.75127892,7.83410100,-16.55019000
12.91511892,7.74559800,-16.55019000
13.07895892,7.74559800,-17.44743000
13.24279892,7.65678900,-17.44743000
13.40663891,7.56798000,-18.34773000
13.57047891,7.56798000,-19.24802000
13.73431891,7.47947600,-19.24802000
13.89815891,7.39066700,-19.24802000
14.06199891,7.39066700,-19.24802000
14.22583891,7.39066700,-19.24802000
14.38967891,7.30216400,-19.24802000
14.55351891,7.30216400,-18.34773000
14.71735891,7.30216400,-19.24802000
14.88119891,7.21335500,-19.24802000
15.04503890,7.21335500,-18.34773000
15.20887890,7.21335500,-18.34773000
15.37271890,7.12454600,-19.24802000
15.53655890,7.12454600,-18.34773000
15.70039890,7.03604200,-17.44743000
15.86423890,7.03604200,-17.44743000
16.02807890,6.94723400,-16.55019000
16.19191890,6.85873000,-15.64989000
16.35575890,6.94723400,-15.64989000
16.51959890,6.85873000,-15.64989000
16.68343889,6.85873000,-14.74959000
16.84727889,6.76992100,-13.84930000
17.01111889,6.76992100,-12.94900000
17.17495889,6.68111200,-12.04871000
17.33879889,6.68111200,-12.04871000
17.50263889,6.59260800,-12.04871000
17.66647889,6.59260800,-12.04871000
17.83031889,6.50379900,-11.14841000
17.99415889,6.50379900,-12.04871000
18.15799889,6.41529600,-12.04871000
18.32183888,6.41529600,-12.04871000
18.48567888,6.32648700,-12.04871000
18.64951888,6.32648700,-12.94900000
18.81335888,6.32648700,-12.94900000
18.97719888,6.23767800,-12.94900000
19.14103888,6.23767800,-12.04871000
19.30487888,6.14917500,-12.04871000
19.46871888,6.14917500,-12.04871000
19.63255888,6.14917500,-11.14841000
19.79639888,6.06036600,-10.24812000
19.96023887,5.97186200,-9.35087100
20.12407887,5.97186200,-8.45057600
20.28791887,5.88305300,-7.55027900
20.45175887,5.88305300,-5.74968700
20.61559887,5.88305300,-5.74968700
20.77943887,5.79454900,-4.84939100
20.94327887,5.79454900,-3.04879900
21.10711887,5.79454900,-2.15155500
21.27095887,5.70574000,-2.15155500
21.43479887,5.70574000,0.54933320
21.59863886,5.61693100,1.44962900
21.76247886,5.61693100,1.44962900
21.92631886,5.52842800,2.34992500
22.09015886,5.52842800,3.25022100
22.25399886,5.43961900,3.25022100
22.41783886,5.43961900,5.04776100
22.58167886,5.35111500,5.04776100
22.74551886,5.35111500,5.04776100
22.90935886,5.35111500,5.94500500
23.07319886,5.26230700,5.94500500
23.23703885,5.26230700,5.94500500
23.40087885,5.17349800,6.84530200
23.56471885,5.17349800,6.84530200
23.72855885,5.08499400,6.84530200
23.89239885,5.08499400,7.74559700
24.05623885,4.99618500,7.74559700
24.22007885,4.99618500,8.64589300
24.38391885,4.99618500,9.54619000
24.54775885,4.90768100,11.34678000
24.71159885,4.90768100,10.44649000
24.87543884,4.81887200,13.14432000
25.03927884,4.81887200,12.24708000
25.20311884,4.81887200,14.04462000
25.36695884,4.73006400,14.94491000
25.53079884,4.73006400,14.94491000
25.69463884,4.73006400,15.84521000
25.85847884,4.64156000,15.84521000
26.02231884,4.64156000,14.94491000
26.18615884,4.55275100,15.84521000
26.34999884,4.55275100,15.84521000
26.51383883,4.46424800,14.04462000
26.67767883,4.46424800,14.04462000
26.84151883,4.37543900,14.04462000
27.00535883,4.37543900,12.24708000
27.16919883,4.28663000,10.44649000
27.33303883,4.28663000,10.44649000
27.49687883,4.28663000,10.44649000
27.66071883,4.19812600,9.54619000
27.82455883,4.10931700,10.44649000
27.98839883,4.10931700,10.44649000
28.15223882,4.10931700,9.54619000
28.31607882,4.02081300,10.44649000
28.47991882,4.02081300,11.34678000
28.64375882,3.93200500,12.24708000
28.80759882,3.93200500,14.04462000
28.97143882,3.84319600,14.04462000
29.13527882,3.84319600,14.04462000
29.29911882,3.84319600,14.04462000
29.46295882,3.75469200,15.84521000
29.62679882,3.75469200,15.84521000
29.79063882,3.75469200,15.84521000
29.95447881,3.66588300,16.74551000
30.11831881,3.57738000,15.84521000
30.28215881,3.57738000,16.74551000
30.44599881,3.57738000,15.84521000
30.60983881,3.48857100,15.84521000
30.77367881,3.39976200,15.84521000
30.93751881,3.31125800,14.94491000
31.10135881,3.31125800,14.04462000
31.26519881,3.31125800,14.04462000
31.42903881,3.31125800,14.04462000
31.59287880,3.22244900,12.24708000
31.75671880,3.22244900,12.24708000
31.92055880,3.22244900,12.24708000
32.08439880,3.13394600,12.24708000
32.24823880,3.04513700,12.24708000
32.41207880,3.04513700,12.24708000
32.57591880,3.04513700,12.24708000
32.73975880,3.04513700,11.34678000
32.90359880,2.95663300,11.34678000
33.06743880,2.86782400,10.44649000
33.23127879,2.86782400,9.54619000
