Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,08522000;4,85183300;-33,59477000
-0,00330000;4,85183300;-37,18985000
0,07862000;4,94003100;-40,78493000
0,16054000;4,94003100;-44,38001000
0,24246000;4,94003100;-47,97510000
0,32437999;4,94003100;-51,57018000
0,40629999;4,94003100;-55,16526000
0,48821999;5,02822900;-56,96585000
0,57013999;5,02822900;-60,56093000
0,65205999;5,02822900;-64,15601000
0,73397999;5,11673400;-67,75109000
0,81589999;5,11673400;-71,34617000
0,89781999;5,11673400;-73,14066000
0,97973999;5,11673400;-74,94125000
1,06165999;5,11673400;-78,53633000
1,14357999;5,11673400;-78,53633000
1,22549999;5,11673400;-82,13141000
1,30741999;5,11673400;-83,92590000
1,38933999;5,20493100;-85,72649000
1,47125999;5,11673400;-87,52098000
1,55317999;5,20493100;-91,11606000
1,63509999;5,29313000;-92,91666000
1,71701999;5,29313000;-96,51173000
1,79893999;5,29313000;-100,10680000
1,88085999;5,29313000;-101,90130000
1,96277998;5,29313000;-105,49640000
2,04469998;5,29313000;-107,29700000
2,12661998;5,38132900;-109,09760000
2,20853998;5,38132900;-110,89210000
2,29045998;5,38132900;-112,69260000
2,37237998;5,46952700;-112,69260000
2,45429998;5,46952700;-114,48710000
2,53621998;5,46952700;-114,48710000
2,61813998;5,46952700;-114,48710000
2,70005998;5,46952700;-114,48710000
2,78197998;5,46952700;-114,48710000
2,86389998;5,55772600;-114,48710000
2,94581998;5,55772600;-112,69260000
3,02773998;5,64622900;-112,69260000
3,10965998;5,64622900;-110,89210000
3,19157998;5,64622900;-107,29700000
3,27349998;5,64622900;-107,29700000
3,35541998;5,64622900;-105,49640000
3,43733998;5,64622900;-103,70190000
3,51925998;5,64622900;-100,10680000
3,60117997;5,73442800;-98,30622000
3,68309997;5,73442800;-96,51173000
3,76501997;5,73442800;-92,91666000
3,84693997;5,82262600;-91,11606000
3,92885997;5,82262600;-87,52098000
4,01077997;5,82262600;-85,72649000
4,09269997;5,82262600;-82,13141000
4,17461997;5,82262600;-78,53633000
4,25653997;5,91082500;-76,73574000
4,33845997;5,91082500;-73,14066000
4,42037997;5,91082500;-69,54558000
4,50229997;5,91082500;-64,15601000
4,58421997;5,91082500;-60,56093000
4,66613997;5,99902300;-56,96585000
4,74805997;5,91082500;-53,37077000
4,82997997;5,99902300;-49,76958000
4,91189997;5,99902300;-44,38001000
4,99381997;5,99902300;-40,78493000
5,07573997;6,08722200;-35,38926000
5,15765997;6,08722200;-33,59477000
5,23957996;6,08722200;-28,19910000
5,32149996;6,17572500;-24,60402000
5,40341996;6,08722200;-21,00894000
5,48533996;6,17572500;-19,21445000
5,56725996;6,17572500;-13,81878000
5,64917996;6,17572500;-12,02429000
5,73109996;6,17572500;-8,42921200
5,81301996;6,26392400;-6,62862000
5,89493996;6,26392400;-4,83413200
5,97685996;6,26392400;-1,23905100
6,05877996;6,26392400;0,56154050
6,14069996;6,35212200;2,35602900
6,22261996;6,35212200;4,15662100
6,30453996;6,35212200;4,15662100
6,38645996;6,35212200;5,95110900
6,46837996;6,35212200;5,95110900
6,55029996;6,44032100;5,95110900
6,63221996;6,44032100;4,15662100
6,71413996;6,44032100;4,15662100
6,79605996;6,52852000;4,15662100
6,87797995;6,52852000;2,35602900
6,95989995;6,52852000;2,35602900
7,04181995;6,52852000;0,56154050
7,12373995;6,52852000;-1,23905100
7,20565995;6,61671800;-3,03354000
7,28757995;6,61671800;-6,62862000
7,36949995;6,61671800;-6,62862000
7,45141995;6,61671800;-10,22370000
7,53333995;6,61671800;-12,02429000
7,61525995;6,70491600;-13,81878000
7,69717995;6,70491600;-17,41386000
7,77909995;6,70491600;-21,00894000
7,86101995;6,70491600;-22,80953000
7,94293995;6,70491600;-26,40461000
8,02485995;6,70491600;-28,19910000
8,10677995;6,79342000;-31,79418000
8,18869995;6,79342000;-35,38926000
8,27061995;6,79342000;-40,78493000
8,35253995;6,88161800;-44,38001000
8,43445995;6,88161800;-47,97510000
8,51637994;6,88161800;-53,37077000
8,59829994;6,88161800;-56,96585000
8,68021994;6,96981700;-62,35542000
8,76213994;6,88161800;-65,95050000
8,84405994;6,96981700;-71,34617000
8,92597994;6,96981700;-74,94125000
9,00789994;6,96981700;-78,53633000
9,08981994;7,05801500;-83,92590000
9,17173994;7,05801500;-87,52098000
9,25365994;7,05801500;-92,91666000
9,33557994;7,05801500;-96,51173000
9,41749994;7,05801500;-100,10680000
9,49941994;7,14621400;-103,70190000
9,58133994;7,14621400;-105,49640000
9,66325994;7,14621400;-107,29700000
9,74517994;7,23441200;-112,69260000
9,82709994;7,23441200;-112,69260000
9,90901994;7,23441200;-114,48710000
9,99093994;7,23441200;-116,28770000
10,07285994;7,23441200;-118,08220000
10,15477993;7,23441200;-118,08220000
10,23669993;7,32291700;-119,88280000
10,31861993;7,32291700;-119,88280000
10,40053993;7,32291700;-121,67730000
10,48245993;7,32291700;-121,67730000
10,56437993;7,41111500;-121,67730000
10,64629993;7,41111500;-119,88280000
10,72821993;7,41111500;-119,88280000
10,81013993;7,41111500;-119,88280000
10,89205993;7,41111500;-119,88280000
10,97397993;7,49931300;-118,08220000
11,05589993;7,49931300;-118,08220000
11,13781993;7,49931300;-116,28770000
11,21973993;7,58751200;-116,28770000
11,30165993;7,58751200;-114,48710000
11,38357993;7,58751200;-112,69260000
11,46549993;7,58751200;-112,69260000
11,54741993;7,58751200;-112,69260000
11,62933993;7,67571000;-110,89210000
11,71125993;7,67571000;-109,09760000
11,79317993;7,58751200;-109,09760000
11,87509992;7,67571000;-109,09760000
11,95701992;7,76390900;-107,29700000
12,03893992;7,76390900;-107,29700000
12,12085992;7,76390900;-107,29700000
12,20277992;7,76390900;-107,29700000
12,28469992;7,76390900;-107,29700000
12,36661992;7,76390900;-105,49640000
12,44853992;7,85210700;-105,49640000
12,53045992;7,85210700;-105,49640000
12,61237992;7,85210700;-105,49640000
12,69429992;7,85210700;-103,70190000
12,77621992;7,94061100;-101,90130000
12,85813992;7,94061100;-101,90130000
12,94005992;7,94061100;-100,10680000
13,02197992;7,94061100;-98,30622000
13,10389992;7,94061100;-98,30622000
13,18581992;7,94061100;-98,30622000
13,26773992;7,94061100;-94,71114000
13,34965992;8,02881000;-92,91666000
13,43157992;8,02881000;-89,32157000
13,51349991;7,94061100;-85,72649000
13,59541991;7,94061100;-83,92590000
13,67733991;7,94061100;-78,53633000
13,75925991;7,94061100;-74,94125000
13,84117991;7,94061100;-71,34617000
13,92309991;7,85210700;-67,75109000
14,00501991;7,85210700;-64,15601000
14,08693991;7,76390900;-58,76034000
14,16885991;7,76390900;-56,96585000
14,25077991;7,67571000;-53,37077000
14,33269991;7,67571000;-51,57018000
14,41461991;7,67571000;-49,76958000
14,49653991;7,58751200;-47,97510000
14,57845991;7,58751200;-46,17450000
14,66037991;7,58751200;-46,17450000
14,74229991;7,58751200;-46,17450000
14,82421991;7,58751200;-44,38001000
14,90613991;7,58751200;-44,38001000
14,98805991;7,49931300;-42,57943000
15,06997991;7,49931300;-42,57943000
15,15189990;7,49931300;-42,57943000
15,23381990;7,49931300;-42,57943000
15,31573990;7,41111500;-40,78493000
15,39765990;7,41111500;-40,78493000
15,47957990;7,41111500;-40,78493000
15,56149990;7,41111500;-38,98434000
15,64341990;7,41111500;-37,18985000
15,72533990;7,41111500;-37,18985000
15,80725990;7,32291700;-37,18985000
15,88917990;7,32291700;-35,38926000
15,97109990;7,32291700;-35,38926000
16,05301990;7,32291700;-33,59477000
16,13493990;7,23441200;-31,79418000
16,21685990;7,23441200;-28,19910000
16,29877990;7,23441200;-26,40461000
